"ISSUE_DATE","LATITUDE","LONGITUDE","PropType"
"2014-03-28T00:00:00.000Z",38.922685,-76.956324,"Single Family"
"2014-03-28T00:00:00.000Z",38.922735,-76.956271,"Single Family"
"2014-03-28T00:00:00.000Z",38.922792,-76.956216,"Single Family"
"2014-03-28T00:00:00.000Z",38.922845,-76.956146,"Single Family"
"2015-04-07T00:00:00.000Z",38.922886,-76.956394,"Single Family"
"2015-03-31T00:00:00.000Z",38.922932,-76.956451,"Single Family"
"2015-03-31T00:00:00.000Z",38.922964,-76.956514,"Single Family"
"2015-03-31T00:00:00.000Z",38.923005,-76.956562,"Single Family"
"2015-03-31T00:00:00.000Z",38.923048,-76.956618,"Single Family"
"2015-03-31T00:00:00.000Z",38.923092,-76.956678,"Single Family"
"2015-12-03T00:00:00.000Z",38.888632,-76.936239,"Single Family"
"2015-02-12T00:00:00.000Z",38.923175,-76.956813,"Single Family"
"2013-11-04T00:00:00.000Z",38.922753,-76.953878,"Single Family"
"2014-11-25T00:00:00.000Z",38.923355,-76.956514,"Single Family"
"2013-09-25T00:00:00.000Z",38.922741,-76.953311,"Single Family"
"2015-02-12T00:00:00.000Z",38.923231,-76.956827,"Single Family"
"2013-11-04T00:00:00.000Z",38.922803,-76.953878,"Single Family"
"2014-12-03T00:00:00.000Z",38.9234,-76.956477,"Single Family"
"2013-09-25T00:00:00.000Z",38.922795,-76.953316,"Single Family"
"2015-02-10T00:00:00.000Z",38.923277,-76.956837,"Single Family"
"2013-11-04T00:00:00.000Z",38.922847,-76.953868,"Single Family"
"2014-11-25T00:00:00.000Z",38.923426,-76.956434,"Single Family"
"2013-09-25T00:00:00.000Z",38.922839,-76.953321,"Single Family"
"2015-02-12T00:00:00.000Z",38.92332,-76.956847,"Single Family"
"2013-11-04T00:00:00.000Z",38.92288,-76.953881,"Single Family"
"2014-11-25T00:00:00.000Z",38.923456,-76.956393,"Single Family"
"2012-03-02T00:00:00.000Z",38.923834,-77.089335,"Single Family"
"2013-09-25T00:00:00.000Z",38.92288,-76.953328,"Single Family"
"2015-02-12T00:00:00.000Z",38.923369,-76.956856,"Single Family"
"2013-11-04T00:00:00.000Z",38.922924,-76.953881,"Single Family"
"2014-11-25T00:00:00.000Z",38.92349,-76.956354,"Single Family"
"2013-09-25T00:00:00.000Z",38.922926,-76.95333,"Single Family"
"2015-02-10T00:00:00.000Z",38.923418,-76.956861,"Single Family"
"2013-11-04T00:00:00.000Z",38.922961,-76.953881,"Single Family"
"2014-11-25T00:00:00.000Z",38.923517,-76.956306,"Single Family"
"2013-09-25T00:00:00.000Z",38.922965,-76.95333,"Single Family"
"2015-02-12T00:00:00.000Z",38.923472,-76.956873,"Single Family"
"2013-11-04T00:00:00.000Z",38.923009,-76.953878,"Single Family"
"2014-12-03T00:00:00.000Z",38.923552,-76.956267,"Single Family"
"2013-09-25T00:00:00.000Z",38.923009,-76.953345,"Single Family"
"2013-11-04T00:00:00.000Z",38.923055,-76.953876,"Single Family"
"2014-11-25T00:00:00.000Z",38.923582,-76.95623,"Single Family"
"2013-09-25T00:00:00.000Z",38.923051,-76.953345,"Single Family"
"2015-04-10T00:00:00.000Z",38.923577,-76.956809,"Single Family"
"2015-04-10T00:00:00.000Z",38.923622,-76.956751,"Single Family"
"2013-10-16T00:00:00.000Z",38.923289,-76.9539,"Single Family"
"2015-01-09T00:00:00.000Z",38.923641,-76.956169,"Single Family"
"2013-06-10T00:00:00.000Z",38.92329,-76.953357,"Single Family"
"2015-04-10T00:00:00.000Z",38.923672,-76.956688,"Single Family"
"2013-10-16T00:00:00.000Z",38.923354,-76.953915,"Single Family"
"2015-01-09T00:00:00.000Z",38.923674,-76.956114,"Single Family"
"2013-06-10T00:00:00.000Z",38.923362,-76.953345,"Single Family"
"2015-04-10T00:00:00.000Z",38.923727,-76.956637,"Single Family"
"2013-10-11T00:00:00.000Z",38.923423,-76.953932,"Single Family"
"2015-01-09T00:00:00.000Z",38.923707,-76.956082,"Single Family"
"2013-06-10T00:00:00.000Z",38.923412,-76.95333,"Single Family"
"2013-10-16T00:00:00.000Z",38.923479,-76.953944,"Single Family"
"2015-01-09T00:00:00.000Z",38.923747,-76.956049,"Single Family"
"2013-06-10T00:00:00.000Z",38.923475,-76.953315,"Single Family"
"2015-04-14T00:00:00.000Z",38.923812,-76.956531,"Single Family"
"2013-10-10T00:00:00.000Z",38.923549,-76.953957,"Single Family"
"2015-01-09T00:00:00.000Z",38.923784,-76.956006,"Single Family"
"2013-06-10T00:00:00.000Z",38.923552,-76.953295,"Single Family"
"2015-04-14T00:00:00.000Z",38.923857,-76.956488,"Single Family"
"2015-01-09T00:00:00.000Z",38.923813,-76.955971,"Single Family"
"2015-04-14T00:00:00.000Z",38.9239,-76.956418,"Single Family"
"2015-01-09T00:00:00.000Z",38.923844,-76.955927,"Single Family"
"2015-04-14T00:00:00.000Z",38.923953,-76.956357,"Single Family"
"2015-01-09T00:00:00.000Z",38.923876,-76.955886,"Single Family"
"2015-04-24T00:00:00.000Z",38.924,-76.956295,"Single Family"
"2015-01-23T00:00:00.000Z",38.923942,-76.95581,"Single Family"
"2015-04-14T00:00:00.000Z",38.924134,-76.956184,"Single Family"
"2015-01-23T00:00:00.000Z",38.923978,-76.955771,"Single Family"
"2015-04-29T00:00:00.000Z",38.924189,-76.956138,"Single Family"
"2015-01-23T00:00:00.000Z",38.92401,-76.955725,"Single Family"
"2015-04-29T00:00:00.000Z",38.924237,-76.956078,"Single Family"
"2015-01-23T00:00:00.000Z",38.924042,-76.955684,"Single Family"
"2015-04-29T00:00:00.000Z",38.924294,-76.956018,"Single Family"
"2015-01-23T00:00:00.000Z",38.924068,-76.955648,"Single Family"
"2015-04-29T00:00:00.000Z",38.924355,-76.95595,"Single Family"
"2015-01-23T00:00:00.000Z",38.924112,-76.955609,"Single Family"
"2015-04-22T00:00:00.000Z",38.85566,-76.981961,"Single Family"
"2015-04-22T00:00:00.000Z",38.855607,-76.981963,"Single Family"
"2015-04-22T00:00:00.000Z",38.855554,-76.981959,"Single Family"
"2015-04-22T00:00:00.000Z",38.855496,-76.981957,"Single Family"
"2015-04-22T00:00:00.000Z",38.855445,-76.981957,"Single Family"
"2015-04-22T00:00:00.000Z",38.855384,-76.981959,"Single Family"
"2015-04-22T00:00:00.000Z",38.855328,-76.981961,"Single Family"
"2014-01-17T00:00:00.000Z",38.922371,-77.06,"Single Family"
"2013-07-26T00:00:00.000Z",38.858241,-76.992952,"Multi Family"
"2013-07-26T00:00:00.000Z",38.858053,-76.993045,"Multi Family"
"2013-07-26T00:00:00.000Z",38.857552,-76.993143,"Multi Family"
"2013-07-26T00:00:00.000Z",38.857019,-76.993225,"Multi Family"
"2013-07-26T00:00:00.000Z",38.856661,-76.992929,"Multi Family"
"2013-07-26T00:00:00.000Z",38.85644,-76.993213,"Multi Family"
"2013-07-26T00:00:00.000Z",38.856113,-76.992843,"Multi Family"
"2013-07-26T00:00:00.000Z",38.855912,-76.993134,"Multi Family"
"2016-01-04T00:00:00.000Z",38.950657,-77.056619,"Single Family"
"2015-08-06T00:00:00.000Z",38.926607,-77.099022,"Single Family"
"2013-08-14T00:00:00.000Z",38.9267,-77.098843,"Single Family"
"2013-11-27T00:00:00.000Z",38.926906,-77.098854,"Single Family"
"2013-01-25T00:00:00.000Z",38.926313,-76.999676,"Single Family"
"2013-01-25T00:00:00.000Z",38.926364,-76.999676,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.999637,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.9997,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.999757,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.999806,"Single Family"
"2013-01-09T00:00:00.000Z",38.926505,-76.999342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.999859,"Single Family"
"2013-01-09T00:00:00.000Z",38.926556,-76.999342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.999919,"Single Family"
"2013-01-09T00:00:00.000Z",38.926599,-76.999342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926507,-76.999984,"Single Family"
"2013-01-09T00:00:00.000Z",38.926637,-76.999342,"Single Family"
"2012-07-02T00:00:00.000Z",38.931519,-76.965302,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999624,"Single Family"
"2013-01-09T00:00:00.000Z",38.926686,-76.999345,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999684,"Single Family"
"2013-01-09T00:00:00.000Z",38.926733,-76.999345,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999739,"Single Family"
"2013-01-09T00:00:00.000Z",38.926776,-76.999345,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999786,"Single Family"
"2013-01-09T00:00:00.000Z",38.926815,-76.999345,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999841,"Single Family"
"2013-01-09T00:00:00.000Z",38.926855,-76.999342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999893,"Single Family"
"2013-01-09T00:00:00.000Z",38.9269,-76.999342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999948,"Single Family"
"2013-01-09T00:00:00.000Z",38.926947,-76.999342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-76.999997,"Single Family"
"2013-01-02T00:00:00.000Z",38.927029,-76.999232,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-77.000047,"Single Family"
"2013-01-02T00:00:00.000Z",38.927029,-76.999167,"Single Family"
"2013-01-25T00:00:00.000Z",38.926699,-77.000101,"Single Family"
"2013-01-02T00:00:00.000Z",38.927029,-76.999107,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999621,"Single Family"
"2013-01-02T00:00:00.000Z",38.927029,-76.999057,"Single Family"
"2013-03-29T00:00:00.000Z",38.893423,-76.920342,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999689,"Single Family"
"2013-01-02T00:00:00.000Z",38.927029,-76.999005,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999747,"Single Family"
"2012-12-27T00:00:00.000Z",38.927029,-76.998945,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999809,"Single Family"
"2012-12-14T00:00:00.000Z",38.927029,-76.998854,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999872,"Single Family"
"2012-12-14T00:00:00.000Z",38.927029,-76.998796,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999927,"Single Family"
"2012-12-14T00:00:00.000Z",38.927029,-76.998744,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-76.999976,"Single Family"
"2012-12-14T00:00:00.000Z",38.927031,-76.998697,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-77.000031,"Single Family"
"2012-12-14T00:00:00.000Z",38.927033,-76.998637,"Single Family"
"2013-01-25T00:00:00.000Z",38.926884,-77.000096,"Single Family"
"2012-12-14T00:00:00.000Z",38.927029,-76.998575,"Single Family"
"2013-01-02T00:00:00.000Z",38.926621,-76.999105,"Single Family"
"2013-01-02T00:00:00.000Z",38.926674,-76.99911,"Single Family"
"2013-01-02T00:00:00.000Z",38.926717,-76.99911,"Single Family"
"2013-01-02T00:00:00.000Z",38.926758,-76.99911,"Single Family"
"2013-01-02T00:00:00.000Z",38.926796,-76.99911,"Single Family"
"2013-01-02T00:00:00.000Z",38.926833,-76.99911,"Single Family"
