ID,Address,Match,MatchDetail,AddressMatch,Long,Lat,LR
131,"1430 V ST SE, Washington, DC, 20020",Match,Exact,"1430 V St SE, WASHINGTON, DC, 20020","-76.985,38.86495",76231113,L
132,"1434 MONTANA AVE NE, Washington, DC, 20018",Match,Exact,"1434 Montana Ave NE, WASHINGTON, DC, 20018","-76.98424,38.923515",76228965,L
133,"1466 OGDEN ST NW, Washington, DC, 20010",Match,Exact,"1466 Ogden St NW, WASHINGTON, DC, 20010","-77.034294,38.934967",76222933,L
134,"1476 HARVARD ST NW, Washington, DC, 20009",Match,Exact,"1476 Harvard St NW, WASHINGTON, DC, 20009","-77.03473,38.926353",76223005,L
135,"15 EVARTS ST NE, Washington, DC, 20002",Match,Exact,"15 Evarts St NE, WASHINGTON, DC, 20002","-77.00881,38.924503",76224665,R
136,"15 Q ST NW, Washington, DC, 20001",Match,Exact,"15 Q St NW, WASHINGTON, DC, 20001","-77.01024,38.911133",76226493,R
137,"1501 GALLATIN ST NW, Washington, DC, 20011",Match,Exact,"1501 Gallatin St NW, WASHINGTON, DC, 20011","-77.03467,38.95189",76239721,R
138,"1503 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1503 Constitution Ave NE, WASHINGTON, DC, 20002","-76.98354,38.891994",76230488,R
139,"1506 SPRING PL NW, Washington, DC, 20010",Match,Exact,"1506 Spring Pl NW, WASHINGTON, DC, 20010","-77.034706,38.936695",76242874,L
140,"1508 VARNUM ST NW, Washington, DC, 20011",Match,Exact,"1508 Varnum St NW, WASHINGTON, DC, 20011","-77.03476,38.942924",76222404,L
141,"1510 D ST NE, Washington, DC, 20002",Match,Exact,"1510 D St NE, WASHINGTON, DC, 20002","-76.983444,38.894794",76230447,L
142,"1510 MONROE ST NE, Washington, DC, 20017",Match,Exact,"1510 Monroe St NE, WASHINGTON, DC, 20017","-76.98419,38.932896",76228801,L
143,"1512 VAN BUREN ST NW, Washington, DC, 20012",Match,Exact,"1512 Van Buren St NW, WASHINGTON, DC, 20012","-77.03505,38.969913",76221599,L
144,"1513 4TH ST NW, Washington, DC, 20001",Match,Exact,"1513 4th St NW, WASHINGTON, DC, 20001","-77.01614,38.910015",76226462,R
145,"1514 NEW JERSEY AVE NW, Washington, DC, 20001",Match,Exact,"1514 New Jersey Ave NW, WASHINGTON, DC, 20001","-77.01652,38.910213",76237500,L
146,"1516 1ST ST NW, Washington, DC, 20001",Match,Exact,"1516 1st St NW, WASHINGTON, DC, 20001","-77.012184,38.910122",76226497,L
147,"1516 23RD ST SE, Washington, DC, 20020",Match,Exact,"1516 23rd St SE, WASHINGTON, DC, 20020","-76.97317,38.87147",76231747,L
148,"1516 HOWARD RD SE, Washington, DC, 20020",Match,Exact,"1516 Howard Rd SE, WASHINGTON, DC, 20020","-76.98606,38.85762",76232411,L
149,"1521 29TH ST NW, Washington, DC, 20007",Match,Exact,"1521 29th St NW, WASHINGTON, DC, 20007","-77.058174,38.90961",76224985,R
150,"1523 1ST ST NW, Washington, DC, 20001",Match,Exact,"1523 1st St NW, WASHINGTON, DC, 20001","-77.012146,38.910343",76226497,R
151,"1524 3RD ST NW, Washington, DC, 20001",Match,Exact,"1524 3rd St NW, WASHINGTON, DC, 20001","-77.0152,38.910435",76226469,L
152,"1524 HOWARD RD SE, Washington, DC, 20020",Match,Exact,"1524 Howard Rd SE, WASHINGTON, DC, 20020","-76.98591,38.857525",76232420,L
153,"1524 SPRING PL NW, Washington, DC, 20010",Match,Exact,"1524 Spring Pl NW, WASHINGTON, DC, 20010","-77.0351,38.936714",76242875,L
154,"1525 MARION ST NW, Washington, DC, 20001",Match,Exact,"1525 Marion St NW, WASHINGTON, DC, 20001","-77.020905,38.910313",76226205,R
155,"1525 MONROE ST NW, Washington, DC, 20010",Match,Exact,"1525 Monroe St NW, WASHINGTON, DC, 20010","-77.03572,38.932343",611109805,R
156,"1528 GALES ST NE, Washington, DC, 20002",Match,Exact,"1528 Gales St NE, WASHINGTON, DC, 20002","-76.983154,38.898735",76230413,L
157,"1530 15TH ST NW, Washington, DC, 20005",Match,Exact,"1530 15th St NW, WASHINGTON, DC, 20005","-77.03458,38.910477",635190482,L
158,"1533 EAST CAPITOL ST SE, Washington, DC, 20003",Match,Exact,"1533 E Capitol St SE, WASHINGTON, DC, 20003","-76.98311,38.88979",632575612,R
159,"1535 5TH ST NW, Washington, DC, 20001",Match,Exact,"1535 5th St NW, WASHINGTON, DC, 20001","-77.01891,38.91018",76226226,R
160,"1535 NEWTON ST NE, Washington, DC, 20017",Match,Exact,"1535 Newton St NE, WASHINGTON, DC, 20017","-76.983894,38.933872",76228799,R
161,"1536 FORT DAVIS ST SE, Washington, DC, 20020",Match,Exact,"1536 Fort Davis St SE, WASHINGTON, DC, 20020","-76.946815,38.8687",76233764,L
162,"1541 T ST NW, Washington, DC, 20009",Match,Exact,"1541 T St NW, WASHINGTON, DC, 20009","-77.03536,38.915585",76223171,R
163,"1542 44TH ST NW, Washington, DC, 20007",Match,Exact,"1542 44th St NW, WASHINGTON, DC, 20007","-77.080795,38.90982",76224784,L
164,"1545 FORT DUPONT ST SE, Washington, DC, 20020",Match,Exact,"1545 Fort Dupont St SE, WASHINGTON, DC, 20020","-76.94532,38.86766",76233772,R
165,"1608 LAWRENCE ST NE, Washington, DC, 20018",Match,Exact,"1608 Lawrence St NE, WASHINGTON, DC, 20018","-76.98245,38.93199",76228820,L
166,"1608 TRINIDAD AVE NE, Washington, DC, 20002",Match,Exact,"1608 Trinidad Ave NE, WASHINGTON, DC, 20002","-76.98426,38.906097",76230189,L
167,"1611 A ST NE, Washington, DC, 20002",Match,Exact,"1611 A St NE, WASHINGTON, DC, 20002","-76.98106,38.890915",76230517,R
168,"1613 27TH ST SE, Washington, DC, 20020",Match,Exact,"1613 27th St SE, WASHINGTON, DC, 20020","-76.96899,38.87054",76231822,R
169,"1616 22ND ST NW, Washington, DC, 20008",Match,Exact,"1616 22nd St NW, WASHINGTON, DC, 20008","-77.048805,38.91172",76222762,L
170,"1617 INDEPENDENCE AVE SE, Washington, DC, 20003",Match,Exact,"1617 Independence Ave SE, WASHINGTON, DC, 20003","-76.98162,38.887577",76230524,R
171,"1617 NEW JERSEY AVE NW, Washington, DC, 20001",Match,Exact,"1617 New Jersey Ave NW, WASHINGTON, DC, 20001","-77.016945,38.911495",76226455,R
172,"1617 WEBSTER ST NW, Washington, DC, 20011",Match,Exact,"1617 Webster St NW, WASHINGTON, DC, 20011","-77.0369,38.944016",76222396,R
173,"1617 WEBSTER ST NW, Washington, DC, 20011",Match,Exact,"1617 Webster St NW, WASHINGTON, DC, 20011","-77.0369,38.944016",76222396,R
174,"1618 F ST NE, Washington, DC, 20002",Match,Exact,"1618 F St NE, WASHINGTON, DC, 20002","-76.98169,38.89668",76230453,L
