ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
2076,"1734 UPSHUR ST NW, Washington, DC, 20011",Match,Exact,"1734 Upshur St NW, WASHINGTON, DC, 20011","-77.03954,38.941864",76222386,L
1786,"1622 MONTELLO AVE NE, Washington, DC, 20002",Match,Exact,"1622 Montello Ave NE, WASHINGTON, DC, 20002","-76.98674,38.907703",76230115,L
6187,"5107 13TH ST NW, Washington, DC, 20011",Match,Exact,"5107 13th St NW, WASHINGTON, DC, 20011","-77.02968,38.95198",76223282,R
2069,"1733 19TH ST NW, Washington, DC, 20009",Match,Exact,"1733 19th St NW, WASHINGTON, DC, 20009","-77.04341,38.9135",76222805,R
3511,"3013 20TH ST NE, Washington, DC, 20018",Match,Exact,"3013 20th St NE, WASHINGTON, DC, 20018","-76.976204,38.928467",76229171,R
2272,"1822 M ST NE, Washington, DC, 20002",Match,Exact,"1822 M St NE, WASHINGTON, DC, 20002","-76.97713,38.90564",76231238,L
3321,"2814 UPTON ST NW, Washington, DC, 20008",Match,Exact,"2814 Upton St NW, WASHINGTON, DC, 20008","-77.05678,38.942036",76220794,L
1502,"1512 IRVING ST NE, Washington, DC, 20017",Match,Exact,"1512 Irving St NE, WASHINGTON, DC, 20017","-76.98385,38.928947",76228838,L
4801,"4014 3RD ST NW, Washington, DC, 20011",Match,Exact,"4014 3rd St NW, WASHINGTON, DC, 20011","-77.01533,38.940212",76223943,L
3518,"3015 P ST NW, Washington, DC, 20007",Match,Exact,"3015 P St NW, WASHINGTON, DC, 20007","-77.059784,38.90932",76224963,R
3131,"2513 CAPITOL ST NE, Washington, DC, 20002",Match,Non_Exact,"2513 N Capitol St NE, WASHINGTON, DC, 20002","-77.009026,38.92279",76224662,R
3115,"2503 BRENTWOOD RD NE, Washington, DC, 20018",Match,Exact,"2503 Brentwood Rd NE, WASHINGTON, DC, 20018","-76.97117,38.931313",76229257,R
1779,"1622 21ST PL SE, Washington, DC, 20020",Match,Exact,"1622 21st Pl SE, WASHINGTON, DC, 20020","-76.975945,38.870422",76238088,L
6170,"510 TUCKERMAN ST NW, Washington, DC, 20011",Match,Exact,"510 Tuckerman St NW, WASHINGTON, DC, 20011","-77.02007,38.967274",76221970,L
