ID,Address,Match,MatchDetail,AddMatch,LongLat,N,LR
1076,"1361 PERRY PL NW, Washington, DC, 20010",Match,Exact,"1361 Perry Pl NW, WASHINGTON, DC, 20010","-77.03198,38.936077",76222953,R
1083,"1366 TAYLOR ST NW, Washington, DC, 20011",Match,Exact,"1366 Taylor St NW, WASHINGTON, DC, 20011","-77.03169,38.940792",76222489,L
1092,"137 11TH ST SE, Washington, DC, 20003",Match,Exact,"137 11th St SE, WASHINGTON, DC, 20003","-76.99155,38.888393",632589620,R
1099,"1373 EMERALD ST NE, Washington, DC, 20002",Match,Exact,"1373 Emerald St NE, WASHINGTON, DC, 20002","-76.98632,38.89671",76230328,R
1108,"1378 C ST NE, Washington, DC, 20002",Match,Exact,"1378 C St NE, WASHINGTON, DC, 20002","-76.985825,38.89359",76230351,L
1115,"1387 ADAMS ST NE, Washington, DC, 20018",Match,Exact,"1387 Adams St NE, WASHINGTON, DC, 20018","-76.98353,38.91997",76234867,R
1124,"139 VARNUM ST NW, Washington, DC, 20011",Match,Exact,"139 Varnum St NW, WASHINGTON, DC, 20011","-77.013054,38.943317",76223940,R
1135,"1400 34TH ST SE, Washington, DC, 20020",Match,Exact,"1400 34th St SE, WASHINGTON, DC, 20020","-76.95712,38.8722",76232103,L
1142,"1403 NEW JERSEY AVE NW, Washington, DC, 20001",Match,Exact,"1403 New Jersey Ave NW, WASHINGTON, DC, 20001","-77.01592,38.90867",76226468,R
1150,"1405 COLUMBIA ST NW, Washington, DC, 20001",Match,Exact,"1405 Columbia St NW, WASHINGTON, DC, 20001","-77.02496,38.908665",76226107,R
1159,"1406 MERIDIAN PL NW, Washington, DC, 20010",Match,Exact,"1406 Meridian Pl NW, WASHINGTON, DC, 20010","-77.03306,38.933483",76222945,L
1166,"1408 EMERSON ST NW, Washington, DC, 20011",Match,Exact,"1408 Emerson St NW, WASHINGTON, DC, 20011","-77.03341,38.949726",76222424,L
1173,"1409 44TH ST NW, Washington, DC, 20007",Match,Exact,"1409 44th St NW, WASHINGTON, DC, 20007","-77.08081,38.906982",76224789,R
1180,"1410 DECATUR ST NW, Washington, DC, 20011",Match,Exact,"1410 Decatur St NW, WASHINGTON, DC, 20011","-77.03298,38.94825",76222431,L
1187,"1411 DECATUR ST NW, Washington, DC, 20011",Match,Exact,"1411 Decatur St NW, WASHINGTON, DC, 20011","-77.03298,38.948277",76222431,R
1194,"1412 COLUMBIA ST NW, Washington, DC, 20001",Match,Exact,"1412 Columbia St NW, WASHINGTON, DC, 20001","-77.024994,38.908745",76226107,L
1201,"1413 POTOMAC AVE SE, Washington, DC, 20003",Match,Non_Exact,"1413 Potomac Ave SE, WASHINGTON, DC, 20004","-76.984695,38.880623",76230951,R
1210,"1415 SOUTH CAPITOL ST SW, Washington, DC, 20003",Match,Non_Exact,"1415 S Capitol St SE, WASHINGTON, DC, 20003","-77.0091,38.872807",76227318,R
1219,"1417 1ST ST NW, Washington, DC, 20001",Match,Exact,"1417 1st St NW, WASHINGTON, DC, 20001","-77.012146,38.90878",76226499,R
1226,"1418 33RD ST NW, Washington, DC, 20007",Match,Exact,"1418 33rd St NW, WASHINGTON, DC, 20007","-77.066086,38.90801",76224874,L
1235,"142 12TH ST NE, Washington, DC, 20002",Match,Exact,"142 12th St NE, WASHINGTON, DC, 20002","-76.990265,38.891415",76237022,L
1246,"1420 POTOMAC AVE SE, Washington, DC, 20003",Match,Exact,"1420 Potomac Ave SE, WASHINGTON, DC, 20003","-76.98463,38.880688",76230951,L
1256,"1421 RITTENHOUSE ST NW, Washington, DC, 20011",Match,Exact,"1421 Rittenhouse St NW, WASHINGTON, DC, 20011","-77.03411,38.965435",76221638,R
1264,"1423 DECATUR ST NW, Washington, DC, 20011",Match,Exact,"1423 Decatur St NW, WASHINGTON, DC, 20011","-77.03318,38.948273",76222431,R
1271,"1424 WHITTIER PL NW, Washington, DC, 20012",Match,Exact,"1424 Whittier Pl NW, WASHINGTON, DC, 20012","-77.03422,38.971493",76221594,L
1279,"1426 DUNCAN ST NE, Washington, DC, 20002",Match,Exact,"1426 Duncan St NE, WASHINGTON, DC, 20002","-76.98442,38.895412",76238005,L
1286,"1427 F ST NE, Washington, DC, 20002",Match,Exact,"1427 F St NE, WASHINGTON, DC, 20002","-76.98452,38.89732",76230416,R
1293,"1427 SWANN ST NW, Washington, DC, 20009",Match,Exact,"1427 Swann St NW, WASHINGTON, DC, 20009","-77.0327,38.91485",76223208,R
1302,"1429 JUNIPER ST NW, Washington, DC, 20012",Match,Exact,"1429 Juniper St NW, WASHINGTON, DC, 20012","-77.03393,38.98323",76221500,R
1314,"1431 19TH ST SE, Washington, DC, 20020",Match,Exact,"1431 19th St SE, WASHINGTON, DC, 20020","-76.97737,38.872704",76231710,R
1321,"1431 R ST NW, Washington, DC, 20009",Match,Exact,"1431 R St NW, WASHINGTON, DC, 20009","-77.03341,38.912624",76223198,R
1328,"1433 MARYLAND AVE NE, Washington, DC, 20002",Match,Exact,"1433 Maryland Ave NE, WASHINGTON, DC, 20002","-76.98451,38.899666",76240329,R
1337,"1435 FOXHALL RD NW, Washington, DC, 20007",Match,Exact,"1435 Foxhall Rd NW, WASHINGTON, DC, 20007","-77.08165,38.90763",76242748,R
1344,"1436 A ST SE, Washington, DC, 20003",Match,Exact,"1436 A St SE, WASHINGTON, DC, 20003","-76.9848,38.888683",76230404,L
1351,"1437 SOUTH CAROLINA AVE SE, Washington, DC, 20003",Match,Exact,"1437 S Carolina Ave SE, WASHINGTON, DC, 20003","-76.98452,38.886917",76240358,R
1358,"1438 W ST SE, Washington, DC, 20020",Match,Exact,"1438 W St SE, WASHINGTON, DC, 20020","-76.985115,38.86407",76231117,L
1365,"1440 G ST SE, Washington, DC, 20003",Match,Exact,"1440 G St SE, WASHINGTON, DC, 20003","-76.98473,38.88128",76230949,L
1372,"1442 CONGRESS PL SE, Washington, DC, 20020",Match,Exact,"1442 Congress Pl SE, WASHINGTON, DC, 20020","-76.98395,38.846725",76232539,L
1379,"1445 ROCK CREEK FORD RD NW, Washington, DC, 20011",Match,Exact,"1445 Rock Creek Ford Rd NW, WASHINGTON, DC, 20011","-77.03455,38.96369",76221646,R
1386,"1450 NEWTON ST NW, Washington, DC, 20010",Match,Exact,"1450 Newton St NW, WASHINGTON, DC, 20010","-77.03378,38.932236",76222858,L
1393,"1455 CHANNING ST NE, Washington, DC, 20018",Match,Exact,"1455 Channing St NE, WASHINGTON, DC, 20018","-76.98304,38.923702",76228967,R
1400,"1458 T ST NW, Washington, DC, 20009",Match,Exact,"1458 T St NW, WASHINGTON, DC, 20009","-77.03401,38.915558",76223180,L
1408,"1462 SHERIDAN ST NW, Washington, DC, 20011",Match,Exact,"1462 Sheridan St NW, WASHINGTON, DC, 20011","-77.035255,38.96612",76221635,L
1416,"147 48TH PL NE, Washington, DC, 20019",Match,Exact,"147 48th Pl NE, WASHINGTON, DC, 20019","-76.93388,38.891083",76233567,R
1424,"1487 HOWARD RD SE, Washington, DC, 20020",Match,Exact,"1487 Howard Rd SE, WASHINGTON, DC, 20020","-76.98636,38.85778",76232411,R
1433,"15 GRANT CIR NW, Washington, DC, 20011",Match,Exact,"15 Grant Cir NW, WASHINGTON, DC, 20011","-77.01864,38.94336",76223668,L
1442,"1501 GALLATIN PL NE, Washington, DC, 20017",Match,Exact,"1501 Gallatin Pl NE, WASHINGTON, DC, 20017","-76.98352,38.950256",76235008,L
1452,"1503 GALLATIN ST NW, Washington, DC, 20011",Match,Exact,"1503 Gallatin St NW, WASHINGTON, DC, 20011","-77.035,38.95189",76239721,R
1459,"1506 23RD ST SE, Washington, DC, 20020",Match,Exact,"1506 23rd St SE, WASHINGTON, DC, 20020","-76.97317,38.87188",76231746,L
1468,"1507 CONSTITUTION AVE NE, Washington, DC, 20002",Match,Exact,"1507 Constitution Ave NE, WASHINGTON, DC, 20002","-76.9835,38.891994",76230488,R
1476,"1509 33RD ST NW, Washington, DC, 20007",Match,Exact,"1509 33rd St NW, WASHINGTON, DC, 20007","-77.06607,38.909077",76224866,R
